Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Jesús Angulo,Tigres UANL,Liga MX,2024/2025,3318,Left Back,Mexico,29/01/98,0,0,0.01,0.02,0.33,0,25,0,,0,0.11,0.04,0.71,0.11,0.04,0.71,0,0,0,0.11,0.04,1.03,0.07,0.62,0.3,0.33,48,1.79,0,0.6,0.76,1.84,1.95,2.71,3.03,17.52,8.38,0.05,5.45,33.24,3.17,9.33,2.5,4.34,71,2.79,4.74,1.52,52,1.03,55,1.27,0.08,13.51,15.09,3.53,2.25,0.3,36.97,3.96,29,1.33,59,0.19,0,0,45.4,82,3.63,85,54,3.55,5.94,10,66,-16,45.22,5.21,0.43,0.47,37.67,97,4.26,8.08,0.81,0.65,0.16,0,0.3,0.95,0.08,37,0.33,35,0.03,28,66,6,36,59,5,21.69,20.88,0.91,88,-0.81,19.74,18.44,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,9,5.57,33,0.12,0.05,0.05,-0.01,,0.22
Jesús Chiquete,Guadalajara,Liga MX,2024/2025,1533,Left Centre Back,Mexico,18/02/02,0,0,0.03,0.04,0.7,0,17,0,,0.01,0,0.01,0.23,0,0.01,0.23,0,0,0,0,0.04,0.94,-0.04,0.88,0.65,0.23,73,0.41,0,0.41,0.53,1.59,1.79,3.11,3.92,10.39,3.99,0.07,4.23,25.85,2.11,9.45,1.47,3.05,81,1.62,3.41,0.53,71,0.35,61,1.82,0.12,8.4,9.27,2.82,1.12,0.18,30.77,1.29,15,0.47,42,0.18,0,0,46.04,84,5.11,87,56,4.7,7.46,16,74,-10,37.52,5.29,0.33,0.34,36.76,98,7.01,5.29,0.18,0.18,0,0,0.94,1.12,0.06,0,0,,0,30,69,2,39,61,0,25.01,23.6,0.91,94,-1.41,22.74,22.14,0,0,0,0,0,,0,0,,0,0,0,0,0,0,15,7,2.92,20,0.06,0.07,0.04,-0.04,,0.13
Jesús Chiquete,Cruz Azul,Liga MX,2024/2025,1631,Left Centre Back,Mexico,18/02/02,0,0,0.02,0.06,0.39,0,14,0,,0,0,0.02,0.22,0,0.02,0.22,0,0,0,0,0.04,0.61,-0.04,0.55,0.28,0.28,50,0.44,0,0.39,0.77,1.32,1.38,2.81,2.76,15.06,7.67,0.03,4.36,31.42,2.21,8.11,1.82,3.14,85,1.72,3.1,0.88,79,0.33,53,1.38,0,12.36,12.82,3.42,1.6,0.11,34.52,2.7,22,0.72,45,0.33,0,0,40.71,83,3.03,88,48,3.75,5.41,15,72,-10,40.93,3.75,0.41,0.46,33.93,97,5.23,4.36,0.22,0.22,0,0.17,0.99,1.21,0,25,0.06,17,0.17,29,68,3,41,58,1,21.99,20.75,0.89,91,-1.24,19.64,18.96,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,9,4.33,29,0.04,0.05,0.02,-0.03,,0.08
Jesús Fernando Piñuelas Sandoval,Querétaro,Liga MX,2024/2025,239,Right Centre Back,Mexico,26/03/98,0,0,0.01,0.04,0.38,0,100,0,,0.03,0,0.01,0.38,0,0.01,0.38,0,0,0,0,0.03,0.75,-0.03,0.38,0.38,0,100,0.38,0,0,0,1.5,0.81,3.39,2.19,10.91,6.02,0.05,5.64,27.57,1.5,9.4,1.88,3.39,71,1.13,1.94,0.75,75,0.75,57,1.5,0,8.28,3.96,2.26,1.13,0,29.47,1.5,18,0,0,0,0,0,33.48,79,2.26,33,35,4.51,5.27,12,64,-16,33.2,1.13,0.08,0.09,23.7,100,4.35,1.5,0,0,0,0,0.75,0.75,0,,0,,0,33,60,8,50,25,25,25.13,26.29,0.89,66,1.16,22.47,17.38,0,0,0,0,0,,0,0,,0,0,0,0,0,0,15,9,2.41,28,0.03,0.04,0,0.01,,0.08
Jesús Fernando Piñuelas Sandoval,Toluca,Liga MX,2024/2025,11,Left Centre Back,Mexico,26/03/98,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,16.44,8.22,,0,21.52,0,8.22,0,0,,0,0,0,,0,,0,0,16.44,5.42,0,0,0,19,0,0,0,,0,0,0,16.44,100,8.22,0,100,0,8.22,0,,,37.9,0,0,0,8.22,100,1.75,0,0,0,0,0,0,0,0,,0,,0,50,50,0,,,,27.22,,1,,,27.22,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,50,50,,,0.01,0,0.08,,,0.09
Jesús Gallardo,Toluca,Liga MX,2024/2025,3624,Left Back,Mexico,14/08/94,0.17,0.17,0.08,0.09,0.89,19,47,1,,0.09,0.12,0.1,1.09,0.12,0.1,1.02,0,0,0.07,0.3,0.19,1.99,0.11,1.02,0.45,0.57,44,0.47,0.02,0.47,1.34,1.17,1.07,2.26,2.24,13.61,7.3,0.02,3.77,36.6,2.26,6.95,1.69,2.86,66,1.86,2.93,1.02,46,0.87,59,1.19,0.02,10.9,11.41,2.48,1.64,0.22,42.7,3.92,36,1.14,70,0.17,0,0,39.68,80,2.38,83,49,3,4.12,12,68,-13,52.92,3.8,0.51,0.6,33.77,96,4.27,10.48,0.99,0.87,0.12,0.3,2.26,3.13,0.05,43,0.67,37,0.4,18,66,16,13,69,18,20.3,19.99,0.93,94,-0.31,18.96,18.72,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,11,4.73,33,0.12,0.08,0.04,-0.01,,0.23
Jesús Hernández,León,Liga MX,2024/2025,197,Left Wing,Mexico,31/07/01,0,0,0,0.01,0.46,0,0,1,,0,0,0.02,0.91,0,0.01,0.46,0,0.01,0.46,0,0.03,1.37,-0.03,3.2,0.91,2.28,29,3.2,0,1.37,5.94,0.46,0.44,0,0,18.27,9.59,0.03,2.74,51.22,4.11,7.76,1.83,2.28,67,1.78,2.21,1.37,33,0.91,0,0,0,15.07,16.1,2.28,2.74,0.46,52.11,8.22,55,1.83,67,0,0,0,22.84,59,0.46,14,17,0.46,2.28,17,50,-9,66.06,5.02,0.08,0.08,30.6,75,5.37,10.05,1.83,0.91,0.91,0,1.37,2.28,0,25,0.46,20,0,24,66,10,32,50,18,21.36,15.82,0.79,97,-5.53,16.96,15.33,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,10,3.93,40,0.09,0.01,0.03,-0.02,,0.1
Jesús Manuel Corona Ruíz,Monterrey,Liga MX,2024/2025,1877,Left Wing,Mexico,05/01/93,0.1,0.1,0.14,0.1,1.39,7,24,1,,0.13,0.43,0.17,1.82,0.43,0.15,1.53,0,0.02,0.29,0.53,0.31,3.21,0.22,5.8,2.35,3.45,40,2.21,0,2.64,6.23,0.67,0.78,0.14,0.2,14.43,5.8,0.01,2.21,57.72,3.6,5.66,1.49,2.16,82,1.84,2.62,0.82,45,0.34,36,0.38,0.05,12.18,15.59,1.87,3.45,0.38,59.16,8.01,66,2.97,86,0.1,0,0,40.46,78,2.25,33,50,0.72,3.93,20,77,-1,66.5,4.65,0.59,0.75,46.07,82,5.83,19.08,2.45,2.16,0.29,0.38,5.08,7.24,0.19,43,1.29,30,0.72,12,65,22,14,61,25,18.21,15.81,0.92,99,-2.4,16.74,15.64,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,12,6.71,45,0.03,0.07,0.04,-0.02,,0.12
Jesús Murillo,Juárez,Liga MX,2024/2025,943,Left Centre Back,Colombia,17/02/94,0.1,0.1,0.04,0.13,0.29,33,33,0,,0.09,0,0,0,0,0,0,0,0,0,0.1,0.04,0.29,0.06,0.57,0.1,0.48,17,0.95,0,0.1,0.86,1.62,1.39,4.11,3.53,13.56,6.87,0.05,5.35,24.08,1.72,8.78,2.39,4.01,83,2.03,3.42,1.15,58,0.48,81,1.62,0.19,10.03,8.41,3.15,1.05,0.19,27.93,1.15,11,0.48,45,0.48,0,0,40.39,82,5.25,17,60,5.54,7.35,14,64,-18,32.52,2.39,0.27,0.31,33.32,97,5.36,2.58,0.19,0.19,0,0,0.57,0.76,0,0,0,0,0,23,74,3,26,74,0,25.15,25.51,0.92,88,0.37,23.12,22.56,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,9,2.29,18,0.01,0.04,0.1,0.04,,0.19
Jesús Rivas,Puebla,Liga MX,2024/2025,964,Right Wing Back,Mexico,28/10/02,0,0,0.01,0.03,0.19,0,50,0,,0,0.09,0.07,0.37,0.09,0.07,0.37,0,0,0,0.09,0.07,0.56,0.02,1.12,0.28,0.84,25,0.28,0,0.47,1.4,1.21,0.59,3.18,1.49,25.03,15.04,0.01,5.14,36.13,3.46,7,3.83,5.04,67,2.02,2.6,2.05,51,1.87,53,0.84,0,19.24,8.78,3.64,2.99,0.19,40.11,6.82,35,2.24,75,0.19,0,0,27.27,71,2.62,9,45,4.11,4.86,12,34,-37,50.04,3.36,0.24,0.24,22.6,92,5.25,5.51,0.75,0.47,0.28,0.09,0.56,1.03,0.19,38,0.28,16,0.09,32,62,6,36,54,10,21.32,17.57,0.9,79,-3.75,19.26,13.96,0,0,0,0,0,,0,0,,0,0,0,0,0,0,31,16,2.83,25,0.12,0.04,0.04,0,,0.19
Jesús Rivas,Pumas UNAM,Liga MX,2024/2025,166,Right Back,Mexico,28/10/02,0,0,0.02,0.02,1.09,0,0,0,,0,0.54,0.05,1.63,0,0.03,0.54,0.54,0.02,1.09,0.54,0.06,2.72,0.48,0.54,0,0.54,0,0,0,0,0.54,1.09,1.15,2.72,2.23,19.02,11.96,0.11,9.78,29.3,3.26,10.33,4.89,5.98,75,4.49,5.64,1.63,67,1.63,50,0.54,0,12.5,10.02,4.89,1.63,0.54,30.73,1.63,13,0,0,0,0,0,28.8,70,3.26,20,50,2.72,6.52,9,33,-37,47.4,5.43,0.2,0.23,16.85,97,3.75,5.98,1.09,0.54,0.54,0,0.54,1.09,0,50,0.54,25,0,42,48,10,36,64,0,23.32,11.22,0.94,69,-12.1,21.88,7.69,0,0,0,0,0,,0,0,,0,0,0,0,0,0,30,21,5.98,31,0.11,0.03,0.03,-0.03,,0.14
Jesús Rodríguez,Puebla,Liga MX,2024/2025,403,Goalkeeper,Mexico,20/05/93,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.22,0,0,7.15,3.49,0,4.02,0,0,,0,0,0,,0,,0,0,0.22,0.26,0,0,0,3.24,0,0,0,,0,0,0,26.59,86,8.71,73,64,1.34,12.29,4,57,-29,14.52,0.22,0.21,0.21,22.79,100,4.68,0,0,0,0,0,0,0,0,,0,,0,29,71,0,,,,34.71,46.17,0.89,109,11.46,30.99,50.12,1.79,1.47,-0.32,60,67,-7,0.98,4.47,43,10.5,2.03,0,0,21.18,2,8,2,1.97,11,0.06,0.04,,,-0.45,-0.36
Jesús Sánchez,Guadalajara,Liga MX,2024/2025,20,Right Back,Mexico,30/08/89,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,4.46,5.73,0,0,17.84,13.38,,0,58.37,0,4.46,4.46,8.92,100,5.73,11.46,0,,0,100,4.46,0,13.38,17.19,0,4.46,0,56.98,8.92,67,4.46,100,0,0,0,93.64,96,4.46,42,50,4.46,4.46,9,50,-46,54.22,17.84,4.14,4.14,75.81,100,4.34,26.75,0,0,0,0,0,0,0,,0,,0,13,78,9,17,83,0,20.13,23.34,0.97,48,3.2,19.43,11.17,0,0,0,0,0,,0,0,,0,0,0,0,0,0,4,4,8.92,48,-0.08,0.1,0,,,0.02
Jesús Ángel Garza García,Tigres UANL,Liga MX,2024/2025,1465,Left Back,Mexico,05/06/00,0.12,0.12,0.02,0.03,0.74,17,33,1,,0.05,0.12,0.08,0.86,0.12,0.08,0.86,0,0,0,0.25,0.1,1.6,0.15,0.74,0.31,0.43,42,1.23,0,0.43,1.17,1.47,1.54,1.35,1.3,20.46,10.57,0.01,4.67,39.11,3.38,7.37,3.13,4.61,73,3.28,4.82,1.84,56,1.17,48,0.68,0,15.54,16.27,3.44,3.19,0.43,41.74,5.71,37,2.46,77,0.43,0,0,38.22,84,1.54,21,45,1.54,3.19,11,71,-13,54.43,3.63,0.31,0.34,33.42,96,3.7,11.49,1.54,1.29,0.25,0.06,1.04,2.33,0.12,48,0.86,39,0.12,25,60,15,22,55,23,17.49,14.8,0.93,100,-2.69,16.33,14.8,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,12,4.53,29,0.14,0.04,0.03,-0.01,,0.19
Jhojan Julio,Tijuana,Liga MX,2024/2025,399,Left Wing,Ecuador,10/02/98,0.23,0.23,0.07,0.15,0.45,50,50,1,,0.03,0.23,0.08,0.9,0.23,0.08,0.9,0,0,0,0.45,0.14,1.35,0.31,2.93,0.9,2.03,31,2.7,0,1.8,3.61,0.45,0.64,0.23,0.36,17.35,8.56,0,4.06,49.14,2.93,5.63,2.03,2.48,90,2.57,3.21,1.35,80,0.23,0,0,0,13.97,17.61,2.93,2.93,0.9,50.39,6.31,45,1.8,62,0.23,0,0,25.91,77,1.58,13,64,0.45,2.25,20,65,-12,62.28,2.7,0.53,0.62,29.52,83,4.99,10.14,1.58,1.35,0.23,0,2.25,3.61,0.23,29,0.45,22,0.23,9,80,10,13,82,4,17.36,13.54,0.98,105,-3.82,17,14.17,0,0,0,0,0,,0,0,,0,0,0,0,0,0,24,12,3.4,28,0.05,0.04,-0.01,-0.04,,0.04
Jhon Murillo,Atlético San Luis,Liga MX,2024/2025,400,Left Centre Forward,Venezuela,20/11/95,0,0,0.02,0.05,0.45,0,0,1,,0,0,0.01,0.22,0,0.01,0.22,0,0,0,0,0.04,0.67,-0.04,0.9,0,0.9,0,2.25,0,2.02,2.47,0.22,0.14,0.67,0.75,15.06,7.42,0.02,3.37,51.98,2.47,5.17,0,0.22,0,0,0.14,0.9,33,0.67,50,0.67,0.22,14.16,17.37,2.92,2.7,0.22,55.68,8.54,60,2.02,75,0.22,0,0,32.37,81,0.9,8,50,1.12,1.35,19,78,-2,58.06,2.02,0.27,0.3,33.5,87,6.38,10.79,0.9,0.9,0,0,1.35,2.25,0,50,0.45,25,0,16,59,25,10,69,21,17.34,17.57,0.96,93,0.23,16.58,16.29,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,11,2.9,28,-0.02,0.07,-0.03,-0.03,,-0.01
Jhon Murillo,Atlas,Liga MX,2024/2025,1548,Right Midfielder,Venezuela,20/11/95,0.12,0.12,0.15,0.16,0.99,12,29,2,,0.15,0.12,0.04,0.93,0.12,0.04,0.93,0,0,0,0.23,0.2,1.92,0.04,1.45,0.47,0.99,32,1.34,0,0.93,2.56,0.7,0.59,0.76,0.53,15.69,7.5,0.01,3.08,49.92,2.09,3.89,1.05,1.74,64,0.84,1.43,1.05,53,0.58,25,0.52,0,13.6,9.15,2.15,1.51,0.17,53.14,7.73,57,1.34,88,0.06,0,0,20.98,78,0.87,13,63,1.05,1.1,20,70,-8,58.56,1.45,0.23,0.35,21.1,85,6.22,6.34,0.52,0.35,0.17,0.23,2.56,2.91,0,22,0.29,23,0.41,14,65,21,10,68,22,15.65,14,0.97,107,-1.65,15.22,14.99,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,10,3.48,27,-0.01,0.08,0.01,-0.01,,0.06
Jhonder Cádiz,León,Liga MX,2024/2025,2491,Centre Forward,Venezuela,28/07/95,0.43,0.4,0.39,0.11,3.47,11,43,8,50,0.45,0.11,0.06,0.79,0.11,0.06,0.79,0,0,0,0.51,0.46,4.26,0.05,0.72,0.29,0.43,40,1.84,0.04,1.37,3.21,0.14,0.15,0.76,0.76,12.9,5.31,0.02,1.95,61.72,1.81,3,0.51,0.65,64,0.38,0.54,1.23,27,0.29,54,3.68,0,11.16,10.77,1.63,1.37,0.14,66.29,8.92,80,1.12,82,0.18,0,0,13.98,62,0.54,14,50,0.98,0.87,39,49,-13,59,1.12,0.32,0.63,13.44,73,4.13,3.76,0.29,0.29,0,0.22,6.65,6.94,0.04,0,0.11,25,0.36,14,65,21,13,72,14,16.43,15.15,0.93,89,-1.28,15.28,13.56,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,10,3.02,21,-0.06,0.01,0.03,-0.01,,-0.03
Joaquim Henrique,Tigres UANL,Liga MX,2024/2025,3349,Left Centre Back,Brazil,27/12/98,0.05,0.05,0.13,0.13,1.05,5,21,0,,0.1,0.03,0.02,0.13,0.03,0.01,0.11,0,0,0.03,0.08,0.15,1.18,-0.07,0.54,0.38,0.16,70,0.67,0,0.38,0.62,1.37,1.7,3.9,3.85,12.74,5.7,0.07,4.95,28.48,2.07,9.33,2.02,3.39,82,2.45,4.15,1.05,77,0.46,70,2.66,0.03,9.68,11,3.09,1.21,0.38,32.62,1.96,20,0.59,49,0.3,0,0,36.69,83,3.12,16,57,5.05,4.35,14,61,-22,38.77,3.17,0.41,0.45,29.48,97,5.48,3.44,0.13,0.11,0.03,0.08,2.12,2.23,0,0,0,0,0.11,28,70,2,38,62,1,23.42,24.17,0.93,89,0.75,21.69,21.48,0,0,0,0,0,,0,0,,0,0,0,0,0,0,15,6,2.81,17,0.02,0.05,-0.04,-0.03,,0.01
Joaquín Fernández Pertusso,Tijuana,Liga MX,2024/2025,228,Left Back,Uruguay,21/01/99,0,0,0.01,0.02,0.39,0,100,1,,0.07,0,0,0,0,0,0,0,0,0,0,0.01,0.39,-0.01,0,0,0,,1.97,0,0.39,0.39,1.58,1.78,1.97,1.86,20.93,11.45,0.05,5.92,35.11,0.79,3.16,2.37,3.95,75,2.72,4.51,1.58,50,0.79,40,1.58,0,16.98,17.69,3.95,3.16,0,35.42,5.13,30,2.37,75,0,0,0.39,26.46,71,1.97,78,50,1.97,3.95,9,75,4,50.75,4.74,0.07,0.07,24.48,98,4.36,6.32,1.58,0.39,1.18,0,0.79,1.18,0,0,0,0,0,27,65,8,19,75,6,21.46,18.31,0.89,90,-3.15,19.12,16.42,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,10,2.72,21,0.05,0.05,0.04,0,,0.14
Joaquín Moxica,Monterrey,Liga MX,2024/2025,40,Centre Forward,Mexico,26/01/06,0,0,0.28,0.06,4.46,0,50,12,,0.15,0,0.05,2.23,0,0.05,2.23,0,0,0,0,0.33,6.69,-0.33,2.23,0,2.23,0,0,0,0,6.69,0,0,0,0,24.54,11.15,0,4.46,48.6,0,0,0,0,,0,0,0,,0,100,2.23,0,24.54,26.54,4.46,2.23,0,48.6,8.92,36,2.23,100,0,0,0,13.38,67,0,0,,0,0,50,33,-33,49.25,0,0.05,0.38,13.38,50,7.07,2.23,0,0,0,0,2.23,2.23,0,,0,,0,17,83,0,0,100,0,15.8,17.72,0.84,63,1.91,13.23,11.22,0,0,0,0,0,,0,0,,0,0,0,0,0,0,67,33,2.23,10,-0.03,0.13,,-0.1,,-0.01
Joe Corona,Tijuana,Liga MX,2024/2025,1206,Left Defensive Midfielder,USA,08/07/90,0.07,0.07,0.09,0.1,0.9,8,25,1,,0.11,0.07,0.04,0.75,0.07,0.04,0.75,0,0,0,0.15,0.13,1.64,0.02,0.9,0.52,0.37,58,1.12,0,0.45,1.12,1.57,2.19,1.79,2.3,19.55,11.19,0.04,6.19,39.99,4.33,10.45,1.94,3.51,68,2.88,5.06,1.57,40,0.9,49,1.42,0.07,16.19,22.62,4.33,3.51,0.6,43.05,6.42,40,2.24,64,0.3,0,0,49.18,89,2.76,15,66,2.09,3.88,13,78,-11,48.92,5.75,0.53,0.57,41.94,97,3.81,9.7,0.22,0.22,0,0.07,1.34,1.57,0,0,0,0,0.15,15,76,9,15,81,5,18.9,16.27,0.98,109,-2.63,18.59,17.76,0,0,0,0,0,,0,0,,0,0,0,0,0,0,14,8,4.81,29,0.03,0.04,0.08,0.03,,0.18
Johan Rojas,Necaxa,Liga MX,2024/2025,813,Left Wing Back,Colombia,19/09/02,0.11,0.11,0.05,0.03,1.99,6,28,2,,0.03,0.22,0.16,2.1,0.11,0.1,1.77,0.11,0.06,0.33,0.33,0.21,4.1,0.12,1.88,1.11,0.78,59,0.33,0,0.78,1.88,1.11,1.06,1.22,1.06,16.39,8.09,0,3.1,45.95,4.21,6.98,1.55,2.66,54,1.22,2.29,1,33,1.33,67,0.66,0.11,13.85,12.55,2.1,2.99,0.11,48.29,6.65,48,2.66,89,0,0,0,37.11,77,3.1,7,48,1.77,5.87,17,75,-2,59.32,4.21,0.47,0.58,37.11,93,5.91,12.07,1.33,1,0.33,0.33,1.44,2.44,0,17,0.33,17,0.44,16,70,14,17,72,11,21.09,17.03,0.88,106,-4.06,18.61,18.11,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,7,6.85,43,0.06,0.11,0.01,-0.05,,0.14
Johan Rojas,Monterrey,Liga MX,2024/2025,739,Left Wing,Colombia,19/09/02,0.37,0.37,0.25,0.06,3.9,9,25,4,,0.35,0.12,0.08,1.22,0.12,0.08,1.22,0,0,0,0.49,0.33,5.11,0.16,2.19,0.85,1.34,39,0.97,0,1.1,3.65,0.73,1.05,0.24,0.42,21.3,6.82,0,4.14,49.66,3.29,5.36,1.34,2.07,65,1.95,2.99,1.7,45,0.73,53,0.97,0,18.26,24.6,3.41,3.29,0.37,50.17,8.64,47,3.04,93,0.24,0,0,43.34,80,4.26,9,61,1.34,5.84,15,81,1,63.64,5.72,0.6,0.72,45.89,91,5.72,18.63,1.95,1.7,0.24,0.61,4.99,6.7,0.12,31,1.1,31,0.49,10,78,12,9,75,16,21.23,19.67,0.95,101,-1.56,20.11,19.94,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,7,6.6,36,0.09,0.19,0.01,-0.04,,0.26
John Kennedy,Pachuca,Liga MX,2024/2025,1310,Centre Attacking Midfielder,Brazil,17/05/02,0.62,0.62,0.42,0.15,2.82,22,49,4,,0.57,0.14,0.09,1.17,0.14,0.09,1.17,0,0,0,0.76,0.51,3.98,0.25,4.19,1.72,2.47,41,1.72,0,3.98,5.84,0.27,0.34,0.07,0.07,22.87,13.12,0.01,3.71,63.83,3.43,4.53,0.41,0.69,55,0.39,0.72,1.65,20,0.34,35,0.55,0,20.81,22.66,3.37,4.53,0.48,64.31,15.59,75,3.98,88,0.27,0,0,21.98,69,0.82,11,50,0.21,1.51,30,69,0,63.92,3.43,0.43,0.7,30.77,71,6.38,8.72,0.62,0.62,0,0.27,6.18,6.8,0,22,0.14,13,0.89,14,72,14,13,78,9,15.7,11.67,1,107,-4.04,15.71,12.44,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,10,3.74,22,-0.15,0.06,0.05,0.12,,0.07
Jonantan Villal Ozuna,Atlético San Luis,Liga MX,2024/2025,91,Left Attacking Midfielder,Mexico,05/01/05,0,0,0.02,0.02,0.99,0,0,1,,0,0,0.1,1.98,0,0.1,1.98,0,0,0,0,0.12,2.97,-0.12,2.97,1.98,0.99,67,1.98,0,2.97,3.96,0.99,1.33,0,0,12.86,3.96,0,1.98,50.46,3.96,6.93,0,0.99,,0,1.33,0,,0,0,0,0,12.86,16.41,1.98,2.97,0,51.57,4.95,38,2.97,100,0,0,0,37.6,82,0,10,0,0,0.99,33,85,3,68.37,9.9,1.02,1.11,46.51,85,5.98,23.75,0.99,0.99,0,0.99,3.96,4.95,0,0,0,,0.99,10,67,23,8,67,25,12.98,11.1,0.99,106,-1.88,12.85,11.82,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,5,4.35,30,-0.03,0.08,0.01,-0.03,,0.03
Jonathan Flores,Pumas UNAM,Liga MX,2024/2025,99,Left Back,Mexico,13/07/06,0,0,0.02,0.02,0.91,0,100,0,,0.15,0,0,0,0,0,0,0,0,0,0,0.02,0.91,-0.02,0.91,0,0.91,0,0,0,0.91,2.73,0,0,1.82,0.91,20.94,13.65,0,4.55,31.59,3.64,8.19,2.73,2.73,75,1.36,1.36,0.91,50,0.91,0,0,0,17.3,8.64,3.64,1.82,0,34.23,3.64,21,0.91,50,0.91,0,0,30.04,73,1.82,88,40,3.64,2.73,8,50,-23,42.91,1.82,0.36,0.37,24.58,85,3.66,4.55,0,0,0,0,0,0,0,,0,,0,44,54,2,60,20,20,17.85,29.8,0.82,89,11.95,14.57,26.5,0,0,0,0,0,,0,0,,0,0,0,0,0,0,35,15,2.55,29,0.05,0.01,0.08,0.09,,0.23
Jonathan Geovanni Pérez Sánchez,Santos Laguna,Liga MX,2024/2025,1119,Right Centre Back,Mexico,26/10/05,0.08,0.08,0.07,0.14,0.48,17,17,0,,0.05,0,0.01,0.32,0,0.01,0.24,0,0,0.08,0.08,0.07,0.8,0.01,0.24,0.16,0.08,67,0.48,0,0.32,0.32,1.29,1.11,4.18,4,15.04,6.68,0.04,5.95,26.34,1.37,7.32,2.33,3.62,83,2.8,3.91,0.97,55,0.48,53,1.53,0,11.74,11.79,3.86,1.53,0.08,30.32,2.41,21,0.72,47,0.32,0,0,40.7,81,2.65,16,48,5.07,4.67,10,65,-16,32.91,1.77,0.29,0.32,31.94,98,4.18,1.85,0.08,0.08,0,0.08,1.13,1.21,0,100,0.08,50,0.08,28,70,2,52,43,4,21.86,22.27,0.91,99,0.41,19.93,21.94,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,8,2.68,22,0.02,0.04,0.02,-0.01,,0.07
